
d_meritional;Meritional;;;;;;;;;;;;;
d_meritional_adj;Meritionalian;;;;;;;;;;;;;
d_merkkantia;Merkkantia;;;;;;;;;;;;;
d_merkkantia_adj;Merkkantia;;;;;;;;;;;;;
k_meritionalis;Meritionalis;;;;;;;;;;;;;
k_meritionalis_adj;Meritionalian;;;;;;;;;;;;;
k_merkkantia;Merkkantia;;;;;;;;;;;;;
k_merkkantia_adj;Merkkantia;;;;;;;;;;;;;
e_costenorda;Costanorda;;;;;;;;;;;;;
e_costenorda_adj;Costanordi;;;;;;;;;;;;;

b_wevi;Wevi;;;;;;;;;;;;;
b_balagmo;Balagmo;;;;;;;;;;;;;
b_silas;Silas;;;;;;;;;;;;;
b_geraldin;Geraldin;;;;;;;;;;;;;
d_virggola;Virggola;;;;;;;;;;;;;
d_virggola_adj;Virggola;;;;;;;;;;;;;
b_stratsan;Stratsan;;;;;;;;;;;;;
b_ravkala;Ravkala;;;;;;;;;;;;;
b_virggola;Virggola;;;;;;;;;;;;;
b_strikkania;Strikkania;;;;;;;;;;;;;
b_crecchio;Crecchio;;;;;;;;;;;;;
b_alguer;Alguer;;;;;;;;;;;;;
b_colugna;Colugna;;;;;;;;;;;;;
b_sottosopral;Sottosopral;;;;;;;;;;;;;
b_saccuti;Saccuti;;;;;;;;;;;;;
b_propezzano;Propezzano;;;;;;;;;;;;;
b_dumenza;Dumenza;;;;;;;;;;;;;
b_vignanello;Vignanello;;;;;;;;;;;;;
b_ciserns;Ciserns;;;;;;;;;;;;;
b_ceregnano;Ceregnano;;;;;;;;;;;;;
b_arzano;Arzano;;;;;;;;;;;;;
b_palombaio;Palombaio;;;;;;;;;;;;;
b_sinopoli;Sinopoli;;;;;;;;;;;;;
b_villammare;Villammare;;;;;;;;;;;;;
b_acquafredda;Acquafredda;;;;;;;;;;;;;
b_poggetello;Poggetello;;;;;;;;;;;;;
b_cadola;Cadola;;;;;;;;;;;;;
b_giarole;Giarole;;;;;;;;;;;;;
b_sghittosa;Sghittosa;;;;;;;;;;;;;
b_merkkani;Merkkani;;;;;;;;;;;;;
b_carzeto;Carzeto;;;;;;;;;;;;;
b_cagliari;Cagliari;;;;;;;;;;;;;
b_resina;Resina;;;;;;;;;;;;;
b_piasco;Piasco;;;;;;;;;;;;;
b_casaltone;Casaltone;;;;;;;;;;;;;
b_carbonara;Carbonara;;;;;;;;;;;;
b_borassi;Borassi;;;;;;;;;;;;;
b_lucente;Lucente;;;;;;;;;;;;;
b_meraviglia;Meraviglia;;;;;;;;;;;;;
b_barlezia;Barlezia;;;;;;;;;;;;;
b_parigi;Parigi;;;;;;;;;;;;;
b_pietrina;Pietrina;;;;;;;;;;;;;
b_summaga;Summaga;;;;;;;;;;;;;
b_collionovastre;Collionovastre;;;;;;;;;;;;;
b_grandistazza;Grandistazza;;;;;;;;;;;;;
b_argillabene;Argillabene;;;;;;;;;;;;;
b_balangero;Balangero;;;;;;;;;;;;;
b_minierdisale;Minierdisale;;;;;;;;;;;;;
