#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

## Cultures

merkkantini;Merkkantini;;;;;;;;;;;;;
costanordi;Costanordi;;;;;;;;;;;;;
costanordi_group;Costanordi;;;;;;;;;;;;;
kostatageva;Kostatageva;;;;;;;;;;;;;

## Religions
tierius;Tierius;;;;;;;;;;;;;
tierius_DESC;WIP;;;;;;;;;;;;;
GOD_TIERIUS;Tierius;;;;;;;;;;;;;
THE_ANCESTRAL_TALES;The Ancestral Tales;;;;;;;;;;;;;
GOD_DEAD_ONES;Dead Ones;;;;;;;;;;;;;
sullen_group;Sullen;;;;;;;;;;;;;
godless;Godless;;;;;;;;;;;;;
godless_DESC;The Godless WIP;;;;;;;;;;;;;
GOD_LIVING;living;;;;;;;;;;;;;
GOD_GREATER_GOOD;Greater Good;;;;;;;;;;;;;
OFF_RELIGION;Off_Religion WIP DESC;;;;;;;;;;;;;
CUSTODIAN;Custodian;;;;;;;;;;;;;
godless_group;Godless;;;;;;;;;;;;;
mittleweld_group;Mittleweld;;;;;;;;;;;;;
great_gods;Great Gods;;;;;;;;;;;;;
great_gods_DESC;Great Gods DESC;;;;;;;;;;;;;
CRUSADE;Crusade;;;;;;;;;;;;;
THE_SACRED_TEACHINGS;The Sacred Teaching;;;;;;;;;;;;;
AUSPICION;Auspicion;;;;;;;;;;;;;
GOD_PRIARON;Priaron;;;;;;;;;;;;;
GOD_THASPITIA;Thaspitia;;;;;;;;;;;;;
THE_REAPER;The Reaper;;;;;;;;;;;;;
GOD_DRAKKHARN;Drakkharn;;;;;;;;;;;;;
pinasciti;Pinasciti;;;;;;;;;;;;;
pinasciti_DESC;Pinasciti WIP DESC;;;;;;;;;;;;;
GOD_PINASCITI;Pinasciti;;;;;;;;;;;;;
GOD_MANERVON;Manervon;;;;;;;;;;;;;
GOD_MOON;The Moon;;;;;;;;;;;;;
priaron_group;Church of Priaron;;;;;;;;;;;;;
priarism;Priarism;;;;;;;;;;;;;
priarism_DESC;Priarism WIP DESC;;;;;;;;;;;;;
THE_DEVIL;The Devil;;;;;;;;;;;;;
thaspitianism;Thaspitianism;;;;;;;;;;;;;
thaspitianism_DESC;Thaspitianism DESC WIP;;;;;;;;;;;;;
